Num_Credit_Card,Interest_Rate,Delay_from_due_date,Changed_Credit_Limit,Outstanding_Debt,Credit_Mix,Payment_of_Min_Amount,Credit_Score
3,8,28,5.05,1448.89,Good,No,0
4,19,30,14.84,1449.51,Standard,Yes,1
4,19,32,14.84,1449.51,Standard,Yes,1
4,19,30,14.84,1449.51,Standard,Yes,1
4,19,30,14.84,1449.51,Standard,No,1
7,14,23,18.83,1449.7,Standard,Yes,1
7,14,23,17.83,1449.7,Standard,Yes,1
7,14,26,17.83,1449.7,Standard,No,1
7,14,23,17.83,1449.7,Standard,No,1
3,11,3,3.1199999999999988,1449.78,Good,No,2
3,11,-1,10.12,1449.78,Good,No,2
3,11,3,10.12,1449.78,Good,No,2
6,11,5,10.2,1449.91,Good,No,0
6,11,2,10.2,1449.91,Good,No,0
6,11,5,10.2,1449.91,Good,No,0
6,11,5,10.2,1449.91,Good,No,0
5,17,10,9.51,145.03,Standard,Yes,1
5,17,15,9.51,145.03,Standard,Yes,1
5,17,15,9.51,145.03,Standard,Yes,1
4,2,3,1.37,145.04,Good,No,1
4,2,8,1.37,145.04,Good,No,2
3,15,16,16.59,145.32,Standard,Yes,1
3,15,11,16.59,145.32,Standard,Yes,1
3,15,11,16.59,145.32,Standard,Yes,1
3,15,11,16.59,145.32,Standard,No,1
4,19,30,14.01,145.46,Standard,Yes,1
4,19,30,14.01,145.46,Standard,Yes,1
4,19,30,14.01,145.46,Standard,Yes,1
4,19,35,14.01,145.46,Standard,Yes,1
7,20,26,0.6000000000000001,145.6,Standard,No,1
7,20,26,1.6,145.6,Standard,No,1
7,20,30,0.6000000000000001,145.6,Standard,No,1
7,20,26,1.6,145.6,Standard,No,1
3,7,9,4.84,1450.15,Standard,Yes,1
3,7,13,4.84,1450.15,Standard,Yes,1
3,7,9,4.84,1450.15,Standard,No,1
3,7,9,4.84,1450.15,Standard,No,1
5,17,32,8.78,1450.16,Bad,Yes,1
5,17,32,8.78,1450.16,Bad,Yes,1
5,17,32,8.78,1450.16,Bad,No,1
5,17,32,8.78,1450.16,Bad,Yes,1
7,24,29,11.78,1450.31,Standard,Yes,1
7,24,24,11.78,1450.31,Standard,Yes,0
7,24,25,13.78,1450.31,Standard,Yes,0
7,24,28,11.78,1450.31,Standard,No,0
7,8,6,5.12,1450.37,Good,No,2
7,8,6,1.12,1450.37,Good,No,2
7,8,9,5.12,1450.37,Good,No,2
7,8,6,5.12,1450.37,Good,No,2
1,8,4,8.23,1450.47,Good,No,2
1,8,4,8.23,1450.47,Good,No,2
1,8,4,12.23,1450.47,Good,No,2
1,8,4,8.23,1450.47,Good,No,2
3,17,15,7.36,1450.51,Standard,Yes,1
3,17,13,7.36,1450.51,Standard,Yes,1
3,17,17,7.36,1450.51,Standard,Yes,1
3,17,13,12.36,1450.51,Standard,Yes,1
6,5,3,4.86,1450.57,Good,No,2
6,5,3,4.86,1450.57,Good,No,2
6,5,3,4.86,1450.57,Good,No,2
6,5,3,4.86,1450.57,Good,No,2
7,18,19,9.57,1450.59,Standard,Yes,0
7,18,19,3.5700000000000003,1450.59,Standard,Yes,0
7,18,19,9.57,1450.59,Standard,Yes,0
7,18,19,9.57,1450.59,Standard,Yes,0
6,19,23,7.42,1450.6,Standard,Yes,0
6,19,20,8.42,1450.6,Standard,Yes,1
6,19,23,8.42,1450.6,Standard,Yes,0
6,19,21,13.42,1450.6,Standard,Yes,1
3,9,10,13.45,1450.68,Good,No,1
3,9,10,8.45,1450.68,Good,No,1
3,9,10,8.45,1450.68,Good,No,1
3,9,5,8.45,1450.68,Good,No,2
4,17,26,16.76,1450.7,Standard,Yes,1
4,17,26,16.76,1450.7,Standard,Yes,1
4,17,26,16.76,1450.7,Standard,Yes,1
4,17,26,17.76,1450.7,Standard,Yes,1
4,12,14,11.42,1450.89,Standard,No,1
4,12,14,11.42,1450.89,Standard,No,1
4,12,14,4.42,1450.89,Standard,No,1
7,17,40,12.06,1450.92,Standard,No,0
7,17,40,12.06,1450.92,Standard,Yes,0
7,17,40,12.06,1450.92,Standard,Yes,0
2,6,10,2.21,1450.98,Good,No,2
2,6,12,1.21,1450.98,Good,No,2
2,6,12,1.21,1450.98,Good,No,2
4,18,7,17.96,1451.24,Standard,Yes,1
4,18,7,15.96,1451.24,Standard,No,1
4,18,7,19.96,1451.24,Standard,Yes,1
4,18,7,17.96,1451.24,Standard,Yes,1
5,2,4,9.65,1451.63,Good,No,1
5,2,5,17.65,1451.63,Good,No,1
5,2,7,14.65,1451.63,Good,No,1
5,2,9,10.65,1451.63,Good,No,1
3,14,26,1.3,1451.72,Standard,No,1
3,14,30,1.3,1451.72,Standard,No,1
3,14,27,1.3,1451.72,Standard,Yes,1
3,14,32,1.3,1451.72,Standard,Yes,1
4,6,10,7.23,1451.92,Good,No,2
4,6,15,7.23,1451.92,Good,No,2
4,6,15,7.23,1451.92,Good,No,2
4,6,15,7.23,1451.92,Good,No,2
5,7,7,19.62,1452.04,Standard,Yes,1
5,7,7,19.62,1452.04,Standard,Yes,1
5,7,7,19.62,1452.04,Standard,No,1
5,7,7,19.62,1452.04,Standard,No,1
9,30,48,15.54,1452.16,Standard,Yes,0
9,30,48,20.54,1452.16,Standard,Yes,0
9,30,44,15.54,1452.16,Standard,Yes,0
5,11,15,9.09,1452.43,Good,No,2
5,11,15,11.09,1452.43,Good,No,2
5,11,15,9.09,1452.43,Good,No,2
5,11,15,9.09,1452.43,Good,No,2
6,11,3,8.6,1452.64,Good,No,1
6,11,7,8.6,1452.64,Good,No,1
6,11,7,8.6,1452.64,Good,No,1
6,11,6,9.6,1452.64,Good,No,1
7,2,24,4.03,1452.65,Standard,No,1
7,2,24,4.03,1452.65,Standard,No,1
7,2,24,4.03,1452.65,Standard,No,1
9,17,31,13.12,1452.74,Standard,Yes,0
9,17,29,7.119999999999999,1452.74,Standard,Yes,0
9,17,27,13.12,1452.74,Standard,Yes,0
9,17,27,13.12,1452.74,Standard,Yes,0
1,10,6,16.93,1452.79,Good,No,2
1,10,8,9.93,1452.79,Good,No,2
1,10,6,11.93,1452.79,Good,No,2
1,10,6,11.93,1452.79,Good,No,2
8,30,59,1.61,1452.82,Bad,Yes,0
8,30,59,1.61,1452.82,Bad,Yes,0
8,30,59,1.61,1452.82,Bad,No,0
4,6,1,8.78,1452.83,Good,No,1
4,6,1,10.78,1452.83,Good,No,1
4,6,1,10.78,1452.83,Good,No,1
3,3,7,11.94,1452.86,Good,No,2
3,3,5,11.94,1452.86,Good,No,2
3,3,7,11.94,1452.86,Good,No,2
3,3,7,15.94,1452.86,Good,No,2
4,2,17,7.01,1452.88,Good,No,2
4,2,15,7.01,1452.88,Good,No,1
4,2,15,7.01,1452.88,Good,No,1
5,7,26,11.77,1452.98,Standard,Yes,1
5,7,28,11.77,1452.98,Standard,Yes,1
5,7,28,11.77,1452.98,Standard,Yes,1
5,7,28,11.77,1452.98,Standard,Yes,1
4,12,24,12.47,1453.07,Standard,No,1
4,12,20,10.47,1453.07,Standard,No,1
4,12,19,10.47,1453.07,Standard,No,1
4,12,23,13.47,1453.07,Standard,No,1
1,5,13,8.33,1453.22,Good,No,2
1,5,13,15.33,1453.22,Good,No,2
1,5,13,8.33,1453.22,Good,No,2
7,8,14,7.36,1453.24,Standard,No,1
7,8,14,7.36,1453.24,Standard,No,1
7,8,14,7.36,1453.24,Standard,No,1
7,8,14,7.36,1453.24,Standard,No,1
6,32,28,9.59,1453.52,Standard,Yes,0
6,32,28,9.59,1453.52,Standard,Yes,0
6,32,28,9.59,1453.52,Standard,No,0
6,32,28,9.59,1453.52,Standard,Yes,0
7,15,54,17.13,1453.61,Bad,No,0
7,15,49,17.13,1453.61,Bad,Yes,0
7,15,53,17.13,1453.61,Bad,Yes,0
7,15,54,17.13,1453.61,Bad,Yes,0
5,9,11,10.98,1453.63,Standard,Yes,1
5,9,6,10.98,1453.63,Standard,No,1
5,9,6,10.98,1453.63,Standard,Yes,1
5,9,6,10.98,1453.63,Standard,No,1
4,12,15,18.52,1453.63,Standard,Yes,1
4,12,15,18.52,1453.63,Standard,Yes,1
4,12,15,18.52,1453.63,Standard,No,1
4,12,15,18.52,1453.63,Standard,Yes,1
5,5,18,18.37,1453.95,Standard,Yes,1
5,5,18,18.37,1453.95,Standard,Yes,1
5,5,18,18.37,1453.95,Standard,Yes,1
5,5,18,18.37,1453.95,Standard,Yes,1
1,4,12,7.63,1454.08,Good,No,2
1,4,12,7.63,1454.08,Good,No,2
1,4,10,7.63,1454.08,Good,No,2
1,4,12,7.63,1454.08,Good,No,2
7,9,0,12.12,1454.14,Good,No,1
7,9,0,11.12,1454.14,Good,No,1
7,9,0,11.12,1454.14,Good,No,1
7,9,0,11.12,1454.14,Good,No,1
7,13,27,3.06,1454.48,Standard,No,1
7,13,27,3.06,1454.48,Standard,No,1
7,13,27,3.06,1454.48,Standard,No,1
7,13,22,3.06,1454.48,Standard,No,1
5,5,0,3.89,1454.59,Good,No,2
5,5,0,3.89,1454.59,Good,No,2
5,5,-4,3.89,1454.59,Good,No,2
4,3,19,9.96,1454.68,Good,No,2
4,3,15,9.96,1454.68,Good,No,2
4,3,15,9.96,1454.68,Good,No,2
4,3,15,9.96,1454.68,Good,No,2
5,8,1,2.38,1454.68,Good,No,2
5,8,0,2.38,1454.68,Good,No,2
5,8,-1,2.38,1454.68,Good,No,2
5,8,0,8.379999999999999,1454.68,Good,No,2
5,13,5,15.79,1455.34,Standard,Yes,1
5,13,5,15.79,1455.34,Standard,Yes,1
5,13,5,15.79,1455.34,Standard,No,1
5,13,5,17.79,1455.34,Standard,Yes,1
1,4,11,8.03,1455.38,Good,No,2
1,4,11,3.03,1455.38,Good,No,2
5,9,16,0.9500000000000002,1455.41,Standard,No,1
5,9,14,0.9500000000000002,1455.41,Standard,No,1
5,9,11,8.95,1455.41,Standard,No,1
5,9,16,2.95,1455.41,Standard,No,1
7,20,25,14.85,1455.55,Standard,Yes,1
7,20,25,14.85,1455.55,Standard,No,1
7,20,25,12.85,1455.55,Standard,Yes,1
7,20,25,14.85,1455.55,Standard,Yes,1
4,3,13,7.81,1455.62,Good,No,1
4,3,13,7.81,1455.62,Good,No,1
4,3,10,7.81,1455.62,Good,No,2
4,3,13,7.81,1455.62,Good,No,1
3,2,30,9.7,1455.64,Good,No,2
3,2,33,9.7,1455.64,Good,No,1
3,2,31,9.7,1455.64,Good,No,1
3,2,30,9.7,1455.64,Good,No,2
10,18,50,3.68,1455.64,Bad,Yes,0
10,18,52,3.68,1455.64,Bad,Yes,0
10,18,50,1.6800000000000002,1455.64,Bad,Yes,0
10,18,50,3.68,1455.64,Bad,Yes,0
5,23,22,8.43,1455.73,Standard,Yes,0
5,23,22,8.43,1455.73,Standard,Yes,0
5,23,22,8.43,1455.73,Standard,No,0
5,23,22,7.43,1455.73,Standard,Yes,0
5,18,5,8.77,1455.88,Standard,Yes,1
5,18,5,8.77,1455.88,Standard,Yes,1
5,18,5,8.77,1455.88,Standard,Yes,1
5,18,5,8.77,1455.88,Standard,Yes,1
4,5,9,11.78,1455.94,Good,No,2
4,5,9,11.78,1455.94,Good,No,2
4,5,14,11.78,1455.94,Good,No,2
4,5,9,11.78,1455.94,Good,No,2
4,19,33,1.0499999999999998,1456.01,Standard,Yes,1
4,19,26,7.05,1456.01,Standard,Yes,1
6,24,59,3.5,1456.02,Bad,Yes,0
6,24,56,3.5,1456.02,Bad,No,0
6,24,63,3.5,1456.02,Bad,Yes,0
6,24,59,3.5,1456.02,Bad,Yes,0
7,13,19,12.04,1456.07,Standard,Yes,1
7,13,19,12.04,1456.07,Standard,Yes,1
7,13,19,12.04,1456.07,Standard,Yes,1
7,13,15,12.04,1456.07,Standard,Yes,1
5,11,12,16.2,1456.12,Standard,Yes,1
5,11,7,16.2,1456.12,Standard,Yes,1
5,11,13,19.2,1456.12,Standard,Yes,1
5,11,12,16.2,1456.12,Standard,Yes,1
4,12,10,3.93,1456.12,Good,No,2
4,12,10,8.93,1456.12,Good,No,2
2,10,14,5.9,1456.25,Good,No,2
2,10,14,5.9,1456.25,Good,No,2
2,10,14,5.9,1456.25,Good,No,2
2,10,14,9.9,1456.25,Good,No,2
5,6,0,5.38,1456.29,Good,No,2
5,6,0,5.38,1456.29,Good,No,2
5,6,0,5.38,1456.29,Good,No,2
5,6,0,5.38,1456.29,Good,No,2
7,13,7,6.039999999999999,1456.75,Standard,Yes,1
7,13,7,8.04,1456.75,Standard,Yes,1
7,13,7,6.039999999999999,1456.75,Standard,Yes,1
7,13,10,6.039999999999999,1456.75,Standard,No,1
6,19,13,17.11,1456.87,Standard,Yes,0
6,19,13,17.11,1456.87,Standard,Yes,0
6,19,13,17.11,1456.87,Standard,Yes,0
6,19,13,17.11,1456.87,Standard,Yes,0
1,10,4,4.5,1457.03,Good,No,2
1,10,10,4.5,1457.03,Good,No,2
1,10,7,4.5,1457.03,Good,No,2
1,10,9,4.5,1457.03,Good,No,2
5,15,20,3.2,1457.21,Bad,Yes,0
5,15,20,3.2,1457.21,Bad,Yes,0
5,15,19,3.2,1457.21,Bad,Yes,0
2,7,14,5.6,1457.34,Good,No,2
2,7,14,5.6,1457.34,Good,No,2
2,7,14,5.6,1457.34,Good,No,2
2,7,14,5.6,1457.34,Good,No,2
3,9,11,5.8900000000000015,1457.41,Good,No,1
3,9,11,3.89,1457.41,Good,No,2
3,9,11,3.89,1457.41,Good,No,2
3,9,11,3.89,1457.41,Good,No,2
7,11,5,13.54,1457.45,Standard,Yes,1
7,11,5,15.54,1457.45,Standard,No,1
7,11,5,13.54,1457.45,Standard,Yes,1
7,11,5,13.54,1457.45,Standard,Yes,1
3,11,15,15.71,1457.54,Standard,No,1
3,11,18,15.71,1457.54,Standard,No,1
3,11,15,15.71,1457.54,Standard,Yes,1
3,11,15,15.71,1457.54,Standard,Yes,1
9,32,42,7.41,1457.54,Bad,Yes,0
9,32,47,7.41,1457.54,Bad,Yes,0
9,32,44,7.41,1457.54,Bad,Yes,0
9,32,47,7.41,1457.54,Bad,Yes,0
3,15,8,18.07,1457.57,Standard,Yes,1
3,15,8,18.07,1457.57,Standard,Yes,1
3,15,8,18.07,1457.57,Standard,No,1
3,15,5,18.07,1457.57,Standard,No,1
4,13,16,11.38,1457.8,Standard,Yes,1
4,13,19,11.38,1457.8,Standard,Yes,1
4,13,19,16.380000000000006,1457.8,Standard,Yes,1
4,13,19,11.38,1457.8,Standard,Yes,1
5,10,15,0.84,1458.47,Good,No,2
5,10,15,0.84,1458.47,Good,No,2
5,10,14,0.84,1458.47,Good,No,2
5,10,15,0.84,1458.47,Good,No,2
7,18,19,18.2,1458.57,Standard,No,1
7,18,19,17.2,1458.57,Standard,Yes,1
7,18,24,11.2,1458.57,Standard,Yes,1
7,18,19,11.2,1458.57,Standard,Yes,1
7,26,51,22.02,1458.58,Standard,Yes,0
7,26,51,16.02,1458.58,Standard,Yes,0
7,26,51,16.02,1458.58,Standard,Yes,0
7,26,51,16.02,1458.58,Standard,Yes,0
6,12,12,9.45,1458.61,Standard,No,1
6,12,10,9.45,1458.61,Standard,Yes,1
6,12,12,9.45,1458.61,Standard,Yes,1
6,12,12,9.45,1458.61,Standard,Yes,1
5,8,4,15.82,1458.84,Standard,Yes,1
5,8,5,13.82,1458.84,Standard,Yes,1
5,8,6,13.82,1458.84,Standard,Yes,1
5,8,5,18.82,1458.84,Standard,No,1
1,8,13,11.59,1459.05,Good,No,2
1,8,13,14.59,1459.05,Good,No,2
1,8,13,11.59,1459.05,Good,No,2
1,8,13,11.59,1459.05,Good,No,2
6,18,15,8.56,1459.05,Standard,No,1
6,18,15,8.56,1459.05,Standard,No,1
6,18,15,8.56,1459.05,Standard,No,1
6,18,15,8.56,1459.05,Standard,No,1
8,19,58,1.0999999999999996,1459.06,Bad,Yes,0
8,19,54,4.1,1459.06,Bad,Yes,0
8,19,54,4.1,1459.06,Bad,Yes,0
8,19,54,4.1,1459.06,Bad,Yes,0
5,7,10,16.21,1459.32,Standard,Yes,1
5,7,10,16.21,1459.32,Standard,No,1
5,7,10,16.21,1459.32,Standard,Yes,1
3,6,9,19.81,1459.58,Standard,Yes,1
3,6,9,19.81,1459.58,Standard,Yes,1
3,6,4,19.81,1459.58,Standard,Yes,1
3,6,9,22.81,1459.58,Standard,Yes,1
5,11,14,9.31,146.1,Good,No,1
5,11,11,9.31,146.1,Good,No,1
5,11,11,9.31,146.1,Good,No,1
5,11,11,9.31,146.1,Good,No,1
7,6,0,1.2,146.2,Good,No,1
7,6,0,1.2,146.2,Good,No,1
7,6,0,5.2,146.2,Good,No,1
7,6,0,1.2,146.2,Good,No,1
3,16,13,16.25,146.6,Standard,Yes,1
3,16,12,16.25,146.6,Standard,Yes,1
3,16,12,16.25,146.6,Standard,Yes,1
3,16,12,16.25,146.6,Standard,Yes,1
7,6,18,0.29,146.68,Good,No,2
7,6,18,2.29,146.68,Good,No,2
7,6,13,2.29,146.68,Good,No,2
7,18,11,10.96,146.68,Standard,No,1
7,18,11,10.96,146.68,Standard,No,1
7,18,11,10.96,146.68,Standard,No,1
7,18,11,10.96,146.68,Standard,No,1
7,9,9,4.64,146.9,Good,No,2
7,9,9,10.64,146.9,Good,No,2
7,9,9,4.64,146.9,Good,No,2
7,9,9,4.64,146.9,Good,No,2
6,16,7,7.04,146.92,Standard,No,1
6,16,7,1.04,146.92,Standard,No,1
6,16,7,1.04,146.92,Standard,No,1
6,16,7,1.04,146.92,Standard,No,1
2,8,5,10.13,1460.07,Good,No,2
2,8,0,10.13,1460.07,Good,No,2
2,8,7,10.13,1460.07,Good,No,2
2,8,7,9.13,1460.07,Good,No,2
2,1,14,1.54,1460.16,Good,No,2
2,1,11,1.54,1460.16,Good,No,2
2,1,11,1.54,1460.16,Good,No,2
2,1,11,1.54,1460.16,Good,No,2
4,7,13,11.94,1460.18,Good,No,1
4,7,13,15.94,1460.18,Good,No,2
4,7,14,11.94,1460.18,Good,No,2
4,7,14,11.94,1460.18,Good,No,2
8,27,38,14.54,1460.23,Standard,Yes,0
8,27,38,7.539999999999999,1460.23,Standard,No,0
8,27,38,14.54,1460.23,Standard,No,0
8,27,38,14.54,1460.23,Standard,Yes,0
1,5,8,3.27,1460.41,Good,No,2
1,5,8,4.27,1460.41,Good,No,2
1,5,9,6.27,1460.41,Good,No,2
7,6,11,18.34,1460.57,Standard,Yes,1
7,6,11,18.34,1460.57,Standard,Yes,1
7,6,15,18.34,1460.57,Standard,Yes,1
7,6,11,18.34,1460.57,Standard,Yes,1
4,10,18,6.23,1460.73,Standard,No,1
4,10,18,8.23,1460.73,Standard,Yes,1
4,10,18,8.23,1460.73,Standard,Yes,1
4,10,20,8.23,1460.73,Standard,Yes,1
5,11,19,13.65,1460.8,Standard,No,1
5,11,12,13.65,1460.8,Standard,Yes,1
5,11,17,13.65,1460.8,Standard,Yes,1
5,11,17,13.65,1460.8,Standard,Yes,1
4,14,27,4.17,1461.03,Standard,No,1
4,14,27,4.17,1461.03,Standard,No,1
4,14,27,4.17,1461.03,Standard,No,1
4,14,27,4.17,1461.03,Standard,No,1
7,5,10,13.56,1461.18,Good,No,2
7,5,10,9.56,1461.18,Good,No,0
7,5,8,9.56,1461.18,Good,No,0
7,5,15,9.56,1461.18,Good,No,0
4,12,28,12.35,1461.27,Standard,Yes,1
4,12,28,8.35,1461.27,Standard,Yes,1
7,8,27,5.97,1461.38,Good,No,0
7,8,27,7.97,1461.38,Good,No,0
7,8,27,9.97,1461.38,Good,No,0
7,8,27,11.97,1461.38,Good,No,0
7,27,51,10.29,1461.56,Bad,Yes,0
7,27,51,10.29,1461.56,Bad,Yes,0
7,27,49,16.29,1461.56,Bad,Yes,0
7,27,51,10.29,1461.56,Bad,Yes,0
3,18,24,18.3,1461.64,Standard,Yes,1
3,18,24,16.3,1461.64,Standard,Yes,1
3,18,24,18.3,1461.64,Standard,Yes,1
3,18,24,18.3,1461.64,Standard,No,1
7,20,28,19.6,1461.76,Standard,Yes,1
7,20,25,19.6,1461.76,Standard,Yes,1
7,20,28,19.6,1461.76,Standard,Yes,1
7,20,28,19.6,1461.76,Standard,No,1
7,4,12,5.18,1462.12,Good,No,0
7,4,8,5.18,1462.12,Good,No,0
9,32,33,11.5,1462.16,Standard,Yes,0
9,32,33,11.5,1462.16,Standard,Yes,0
9,32,33,11.5,1462.16,Standard,Yes,0
3,20,22,16.759999999999998,1462.53,Standard,No,1
3,20,22,19.76,1462.53,Standard,No,1
3,20,22,7.76,1462.53,Standard,Yes,1
5,34,27,19.29,1462.7,Standard,Yes,0
5,34,27,19.29,1462.7,Standard,Yes,0
5,34,27,19.29,1462.7,Standard,Yes,0
5,34,27,19.29,1462.7,Standard,Yes,0
4,11,9,7.69,1462.79,Standard,Yes,1
4,11,9,7.69,1462.79,Standard,Yes,1
4,11,11,7.69,1462.79,Standard,Yes,1
4,11,12,7.69,1462.79,Standard,Yes,1
6,22,6,15.78,1462.83,Standard,Yes,0
6,22,6,15.78,1462.83,Standard,Yes,0
6,22,3,19.78,1462.83,Standard,Yes,0
6,22,6,15.78,1462.83,Standard,No,0
1,3,16,10.42,1462.95,Good,No,2
1,3,8,10.42,1462.95,Good,No,2
1,3,16,10.42,1462.95,Good,No,2
1,3,11,4.42,1462.95,Good,No,2
4,3,16,5.6,1462.95,Good,No,2
4,3,11,5.6,1462.95,Good,No,2
4,3,11,6.6,1462.95,Good,No,2
4,3,11,5.6,1462.95,Good,No,2
1,12,5,2.89,1463.07,Good,No,2
1,12,10,2.89,1463.07,Good,No,2
1,12,9,2.89,1463.07,Good,No,2
4,27,5,11.83,1463.22,Standard,Yes,0
4,27,5,11.83,1463.22,Standard,Yes,0
4,27,5,11.83,1463.22,Standard,No,0
4,27,10,11.83,1463.22,Standard,No,0
7,14,28,0.96,1463.41,Standard,No,1
7,14,34,0.96,1463.41,Standard,No,1
7,14,30,0.96,1463.41,Standard,No,1
7,14,30,0.96,1463.41,Standard,No,1
4,2,15,11.01,1463.48,Good,No,2
4,2,12,11.01,1463.48,Good,No,2
4,2,15,11.01,1463.48,Good,No,2
4,2,15,4.01,1463.48,Good,No,1
4,15,31,13.21,1463.64,Standard,Yes,1
4,15,30,8.21,1463.64,Standard,Yes,1
4,15,34,13.21,1463.64,Standard,Yes,1
4,15,30,15.21,1463.64,Standard,No,1
5,16,24,16.24,1464.16,Standard,Yes,1
5,16,24,16.24,1464.16,Standard,Yes,1
5,16,24,16.24,1464.16,Standard,Yes,1
5,16,24,11.239999999999998,1464.16,Standard,Yes,1
3,19,11,9.63,1464.16,Standard,Yes,1
3,19,11,9.63,1464.16,Standard,Yes,1
3,19,11,10.63,1464.16,Standard,Yes,1
7,24,61,0.68,1464.67,Bad,No,0
7,24,61,0.68,1464.67,Bad,Yes,0
7,24,61,0.68,1464.67,Bad,Yes,0
4,3,10,1.59,1464.69,Good,No,2
4,3,10,1.59,1464.69,Good,No,2
4,3,11,8.59,1464.69,Good,No,1
6,20,14,16.25,1464.72,Standard,Yes,1
6,20,12,16.25,1464.72,Standard,Yes,1
6,20,12,16.25,1464.72,Standard,No,1
7,8,15,0.76,1464.74,Good,No,1
7,8,15,0.76,1464.74,Good,No,1
7,8,19,0.76,1464.74,Good,No,0
7,8,20,0.76,1464.74,Good,No,0
4,2,7,6.05,1464.77,Good,No,1
4,2,11,6.05,1464.77,Good,No,1
4,2,11,6.05,1464.77,Good,No,1
4,2,10,2.05,1464.77,Good,No,2
4,16,22,7.74,1465.01,Standard,Yes,1
4,16,22,7.74,1465.01,Standard,Yes,1
4,16,21,7.74,1465.01,Standard,Yes,1
4,16,22,7.74,1465.01,Standard,Yes,1
6,18,26,1.24,1465.06,Standard,No,1
6,18,30,1.24,1465.06,Standard,Yes,1
6,18,27,1.24,1465.06,Standard,Yes,1
8,22,54,4.51,1465.19,Bad,No,0
8,22,57,4.51,1465.19,Bad,Yes,0
8,22,58,4.51,1465.19,Bad,Yes,0
8,22,52,4.51,1465.19,Bad,Yes,1
7,19,15,7.109999999999999,1465.3,Standard,Yes,1
7,19,15,11.11,1465.3,Standard,Yes,1
7,19,18,11.11,1465.3,Standard,Yes,1
7,19,12,11.11,1465.3,Standard,Yes,1
9,34,63,7.65,1465.62,Bad,Yes,0
9,34,59,7.65,1465.62,Bad,Yes,0
9,34,61,7.65,1465.62,Bad,Yes,0
6,10,9,2.34,1465.73,Good,No,1
6,10,5,0.3399999999999998,1465.73,Good,No,1
6,10,5,2.34,1465.73,Good,No,1
4,9,1,3.73,1465.8,Good,No,2
4,9,1,8.73,1465.8,Good,No,2
4,9,1,8.73,1465.8,Good,No,2
4,9,-4,8.73,1465.8,Good,No,2
4,19,22,11.69,1465.86,Standard,No,1
4,19,22,11.69,1465.86,Standard,No,1
4,19,22,11.69,1465.86,Standard,No,1
4,19,22,6.69,1465.86,Standard,No,1
3,5,25,4.77,1465.87,Standard,No,1
3,5,25,4.77,1465.87,Standard,No,1
3,5,21,8.77,1465.87,Standard,No,1
3,5,25,9.77,1465.87,Standard,No,1
4,12,9,11.28,1465.9,Standard,No,1
4,12,9,11.28,1465.9,Standard,No,1
4,12,9,11.28,1465.9,Standard,No,1
10,18,34,4.44,1466.43,Bad,Yes,0
10,18,32,4.44,1466.43,Bad,Yes,0
10,18,32,4.44,1466.43,Bad,Yes,0
10,18,32,4.44,1466.43,Bad,Yes,0
7,11,28,5.22,1466.56,Standard,Yes,1
7,11,30,5.22,1466.56,Standard,Yes,1
7,11,32,5.22,1466.56,Standard,Yes,1
7,11,28,5.22,1466.56,Standard,Yes,1
3,15,8,19.49,1466.57,Standard,Yes,1
3,15,8,19.49,1466.57,Standard,Yes,1
3,15,8,19.49,1466.57,Standard,Yes,1
3,15,7,19.49,1466.57,Standard,Yes,1
4,16,25,18.49,1466.97,Standard,Yes,1
4,16,25,18.49,1466.97,Standard,Yes,1
4,25,13,16.04,1466.97,Standard,Yes,0
4,25,10,16.04,1466.97,Standard,Yes,0
4,25,10,16.04,1466.97,Standard,Yes,0
4,25,9,16.04,1466.97,Standard,No,0
6,12,20,13.74,1467.16,Standard,Yes,1
6,12,20,13.74,1467.16,Standard,Yes,1
6,12,20,13.74,1467.16,Standard,Yes,1
6,12,20,13.74,1467.16,Standard,Yes,1
9,17,30,9.95,1467.27,Standard,Yes,0
9,17,29,9.95,1467.27,Standard,Yes,0
9,17,29,9.95,1467.27,Standard,Yes,0
9,17,32,9.95,1467.27,Standard,Yes,0
3,33,11,16.08,1467.48,Standard,No,0
3,33,11,20.08,1467.48,Standard,Yes,1
3,33,11,16.08,1467.48,Standard,No,0
3,33,11,16.08,1467.48,Standard,Yes,1
4,9,6,7.51,1467.6,Good,No,2
4,9,3,7.51,1467.6,Good,No,2
4,9,6,12.51,1467.6,Good,No,1
4,9,6,7.51,1467.6,Good,No,2
7,24,30,7.54,1467.62,Bad,Yes,0
7,24,30,7.54,1467.62,Bad,Yes,0
7,24,26,7.54,1467.62,Bad,Yes,0
7,24,30,7.54,1467.62,Bad,Yes,0
6,21,16,19.29,1467.79,Standard,Yes,0
6,21,12,19.29,1467.79,Standard,Yes,1
6,21,16,19.29,1467.79,Standard,Yes,0
6,21,16,19.29,1467.79,Standard,Yes,0
5,8,28,8.94,1467.8,Good,No,0
5,8,28,8.94,1467.8,Good,No,0
5,8,28,8.94,1467.8,Good,No,0
5,8,25,8.94,1467.8,Good,No,0
6,15,28,10.23,1467.95,Standard,Yes,1
6,15,30,10.23,1467.95,Standard,Yes,1
6,15,31,10.23,1467.95,Standard,Yes,1
6,15,30,10.23,1467.95,Standard,Yes,1
5,10,9,4.7200000000000015,1468.28,Good,No,2
5,10,13,10.72,1468.28,Good,No,2
5,10,5,16.72,1468.28,Good,No,2
5,10,9,10.72,1468.28,Good,No,2
